header	Is your research data automatically backed up?	Did you lose any research data in the past year?	You said you lost research data in the past year. How much time did you lose?	How frequently do you have problems finding a specific research data file in your collection?	Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?	You said that you are currently using tools for data management. What are these tool(s)?	Would you be interested in trying out a dedicated tool for research data management?	Does your project have a data management plan?	Do you know who owns the research data that you are creating?	You said you know who owns the research data that you are creating. Who is it?	Who do you think is responsible for the stewardship of research data resulting from your project?	Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?	Are you aware of research data repositories?	Please provide us with the name(s) of the repository(ies) that you are using	Please indicate if you (or related staff / students) would be interested in any potential training on research data management	Which institution are you from?	Have you heard about dedicated support for research data management at EPFL?	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]	Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]	Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]	Do you share data files associated with your publications?	Please specify where you share your data	What is your position?	Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?	Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?	Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?	Which faculty are you from?	Uni
60	Yes	No		Never	No		Yes	No	Yes	EPFL	Myself;My supervisor;My unit's IT manager;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing	EPFL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	SPC database	Postdoc/researcher					Delft
61	Yes	Yes	More than 6 months of work	Sometimes	Yes	git, mysnf		No	Yes	My project is an independent researcher project paid by an external SNF grant that I was awarded that grant me the right on the data that I produce	Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data	mysnf	Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	website	Postdoc/researcher					Delft
62	No	No		Sometimes	Yes	GIT, Evernote		Yes	Yes	EPFL	Myself;My university/institution;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Yes	Not sure	Not sure	Yes	Yes, often	SWITCHdrive, dropbox, figshare	Postdoc/researcher					Delft
63	Not sure	Yes	1 day - 7 days	Almost never	Yes	E-notebook and lab notebook		Yes	Not sure		Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	No	Not sure		General introduction to research data management;Organising folders and files;Data backup and storage solutions	EPFL	Yes	Yes	Not sure	Not sure	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Yes, sometimes	Hard disk of the group	Postdoc/researcher					Delft
64	No	No		Sometimes	Yes	git, box, svn		No	No		Myself;My supervisor	No	Yes, I am already using them to find existing datasets or to share my own data	Datashop	General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software	EPFL	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	Yes	Yes, sometimes	Datashop	Postdoc/researcher					Delft
65	No	No		Frequently	No		Yes	Not sure	Not sure		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	Yes, I have already used it	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
66	No	No		Almost never	No		Yes	No	Yes	EPFL	Myself;My supervisor;My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions	EPFL	No	Not sure	Not sure	Yes	Yes	No	Not sure	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Yes	No		Postdoc/researcher					Delft
67	No	No		Sometimes	No		Yes	No	Yes	The current lab	Myself	Not sure	No, I have no idea what these are		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	Yes	Not sure	Not sure	Not sure	Yes	Yes	Not sure	Yes	Yes	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
68	No	Yes	1 day - 7 days	Sometimes	No		Yes	Yes	Not sure		Myself;My university/institution	No	No, I have no idea what these are		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	EPFL	No	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes, urgently	Yes	Yes, urgently	Yes	Yes	No		PhD student					Delft
69	Yes	No		Almost never	No		Not sure	No	Not sure		My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes	Yes	Not sure	Not sure	Yes	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	No		Technical or scientific support staff					Delft
70	Not sure	No		Sometimes	No		Yes	No	No		Myself	No	No, I have no idea what these are		Organising folders and files;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes	No	Yes, urgently	Yes, sometimes	"Google drive
"	Technical or scientific support staff					Delft
71	No	No		Almost never	No		Yes	No	Yes	University & PI	Myself	Yes	Not sure		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	No	No	Yes	Yes, urgently	Yes	No	Not sure	Not sure	Not sure	Yes	No	Yes	Yes	Yes, sometimes	GEO (expression platform)	Associate Professor					Delft
72	Yes	No		Sometimes	Yes	Git		No	No		My university/institution	Yes	Yes, I am already using them to find existing datasets or to share my own data	zenodo, github, gitlab, c4science	Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	EPFL	Yes	Yes	Yes	Yes	Yes, urgently	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	zenodo, c4science, github	Postdoc/researcher					Delft
73	No	No		Never	No		Yes	No	Not sure		A lot of data taken as service or in collaboration so different projects would have different stewardship	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Not sure	Yes	Not sure	No	Not sure	Yes	Yes	Not sure	Not sure	Not sure	No		Technical or scientific support staff					Delft
74	Yes	No		Sometimes	Yes	E-notebook electronic lab journal		No	Not sure		Myself;My supervisor	No	Yes, I am already using them to find existing datasets or to share my own data	reaxys	General introduction to research data management;Data backup and storage solutions	EPFL	No	Not sure	Yes	Not sure	Not sure	No	Yes	Not sure	Not sure	Yes	Not sure	Not sure	Not sure	Not sure		Postdoc/researcher					Delft
75	Yes	No		Sometimes	Yes	git		Not sure	Yes	Me, as it is bound from a grant that demands full open-access	Myself;My supervisor;My university/institution;My funding agency	Yes	Yes, I am already using them to find existing datasets or to share my own data	github.com/[anonymised]	General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data café informal drop in sessions	EPFL	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes, sometimes	geus.me	Postdoc/researcher					Delft
76	Yes	No		Almost never	Yes	MDS		Yes	Yes	It depends on the project	Myself;My unit's IT manager	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	Yes	Not sure	Yes	Yes	Yes	Yes	Not sure	Not sure	Not sure	Yes	Not sure	Yes	Yes	Yes, sometimes	At the EU level, with the other members of the consortium to which we belong	Full Professor					Delft
77	Yes	No		Sometimes	Yes	Git, MySQL database		Yes	Yes	It depends on the project (our institution or partners)	Myself;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/)	EPFL	Yes	Yes	Not sure	Yes	Yes	Yes	Not sure	Not sure	Not sure	No	No	Not sure	No	No		Postdoc/researcher					Delft
78	No	No		Very frequently	Yes	git		No	No		Not sure	No	No, I have no idea what these are		Data management plan preparation;Data backup and storage solutions	EPFL	No	Yes	No	No	Yes	No	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	No	No	Not sure		PhD student					Delft
79	No	No		Frequently	No		Not sure	No	Not sure		Myself;My supervisor;My university/institution	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software	EPFL	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No		Postdoc/researcher					Delft
80	No	No		Almost never	No		Yes	Yes	Yes	My University	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	EPFL	Yes	Yes	Yes, urgently	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes, urgently	Yes	upon request	Tenure Track Assistant Professor					Delft
81	No	No		Sometimes	Yes	Own version control system		No	Not sure		Myself;My university/institution	Yes	Yes, I am already using them to find existing datasets or to share my own data	Zenodo	General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	Yes, I have already used it	Yes	Yes	Yes	Yes	Yes, urgently	No	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes, urgently	Yes	Zenodo	Postdoc/researcher					Delft
82	No	No		Never	Yes	Office		No	No		Myself;My supervisor	Yes	Not sure		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software	EPFL	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No		Postdoc/researcher					Delft
83	Yes	No		Never	No		Yes	No	No		My university/institution	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No		Postdoc/researcher					Delft
84	No	No		Almost never	Yes	SVN		No	Not sure		Myself;My unit's IT manager	No	No, I have no idea what these are		Not interested in training	EPFL	No	Yes	No	No	Not sure	Not sure	Not sure	Not sure	Not sure	No	Not sure	Yes	Not sure	Yes	Folders	Postdoc/researcher					Delft
85	Yes	No		Frequently	Yes	git for code, electronic notebooks for the people doing bench. 		No	Not sure		Myself;My supervisor	Yes	Yes, I am already using them to find existing datasets or to share my own data	Gene Expression Omnibus (GEO), European nucleotide archive (ENA)	General introduction to research data management;Organising folders and files;Data backup and storage solutions;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing	EPFL	No	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	GEO, ENA	Technical or scientific support staff					Delft
